country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2k,20.3k,24.3k,27.3k,27.9k,29k,29k,29.3k,30k,29.4k,28.7k,29.9k,29.9k,29.6k,31.2k,29.7k,28.1k,28k,29.7k,29.7k,29.7k,30.2k,30.1k,26.9k,25.9k,26.6k,26.2k,27.1k,27k,28.4k,28.8k,29.3k,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,332,323,346,354,393,399,473,526,512,558,569,565,556,553,553,547,555,530
Angola,,,,,,,,,,,,,,,,,,,,,3550,3280,3160,3180,3250,3250,3230,3240,3320,3210,3000,2930,2670,1960,1930,2150,2360,2450,2490,2460,2450,2470,2720,2710,2900,3220,3460,3810,4080,3960,3990,3980,4170,4220,4270,4170,3920,3790,3600,3460,3170
Albania,,,,,,,,,,,,,,,,,,,,,1740,1800,1820,1800,1740,1740,1800,1750,1690,1810,1610,1160,1090,1200,1310,1490,1630,1460,1600,1820,1960,2140,2250,2380,2520,2680,2850,3040,3300,3430,3580,3680,3740,3780,3860,3950,4090,4250,4430,4540,4390
Andorra,,,,,,,,,,,35.4k,35.2k,36.2k,37.1k,37.5k,36.2k,36.2k,36.1k,35.6k,34.5k,34k,32.7k,31.7k,30.9k,30.1k,29.5k,29.2k,29.6k,29.9k,30.1k,30.1k,29.6k,28.8k,27.5k,27.4k,27.6k,28.7k,31.3k,32.4k,33.6k,34.3k,36k,36.2k,37.6k,39k,39.8k,40.6k,40.4k,37.6k,35.4k,34.7k,35k,33.8k,33.2k,34.7k,35.8k,37.4k,37.7k,38.3k,39k,34.3k
United Arab Emirates,,,,,,,,,,,,,,,,99.5k,99.6k,105k,90.9k,98.6k,112k,109k,95.3k,86.1k,85k,77.6k,62.4k,60.8k,55.8k,59.1k,66k,62.9k,61.3k,58.6k,59.4k,60.2k,60.5k,62.3k,59.3k,57.9k,60.7k,58.4k,56.8k,57.9k,57.9k,53.8k,51.2k,45.4k,40.8k,34.6k,32.5k,33.2k,34k,35.5k,37k,38.7k,39.4k,39.8k,39.7k,40.4k,37.5k
Argentina,7360,7640,7450,6950,7530,8200,8030,8160,8430,9110,9240,9610,9610,9730,10.1k,9940,9590,10.1k,9510,10.3k,10.3k,9630,9410,9660,9660,9010,9410,9520,9270,8480,8150,8770,9340,9970,10.4k,10k,10.4k,11.1k,11.4k,10.9k,10.7k,10.1k,8940,9630,10.4k,11.2k,12k,12.9k,13.3k,12.4k,13.6k,14.2k,13.9k,14.1k,13.6k,13.8k,13.4k,13.6k,13.1k,12.7k,11.3k
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1470,872,814,879,959,1030,1080,1160,1210,1290,1420,1620,1860,2060,2360,2700,3090,3340,2880,2960,3100,3310,3410,3510,3610,3600,3860,4050,4350,4020
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6k,12.6k,12.7k,12.6k,12.2k,12.6k,12.4k,12.1k,12.3k,12.3k,11.8k,11.5k,11.7k,12.1k,11.9k,11.1k,11.4k,11.4k,11.8k
Antigua and Barbuda,,,,,,,,,,,,,,,,,,5570,5830,6310,6830,7100,7090,7470,8230,8860,9890,10.5k,11.1k,11.6k,11.9k,12k,11.9k,12.3k,12.8k,12k,12.5k,12.9k,13.3k,13.5k,14.1k,13.2k,13.2k,13.8k,14.4k,15.1k,16.8k,18.1k,17.8k,15.4k,14k,13.5k,13.8k,13.6k,13.9k,14.3k,14.9k,15.2k,16.1k,16.8k,13.3k
